127.0.0.1 - - [25/Nov/2018:01:16:16 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:16:20 +0530] "GET /GvkHospitalManagement/ HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:17:10 +0530] "GET /GvkHospitalManagement/mvc/stdshow HTTP/1.1" 500 24758
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:17:11 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:18:24 +0530] "GET /GvkHospitalManagement/mvc/stdshow HTTP/1.1" 500 24758
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:20:21 +0530] "GET /GvkHospitalManagement/mvc/stdshow HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:20:58 +0530] "GET /GvkHospitalManagement/mvc/stdshow HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:21:28 +0530] "GET /GvkHospitalManagement/mvc/student/stdshow HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:21:36 +0530] "GET /GvkHospitalManagement/mvc/student/viewData HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:21:39 +0530] "GET /GvkHospitalManagement/mvc/student/stdshow HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:21:59 +0530] "POST /GvkHospitalManagement/mvc/student/stdReg HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:22:08 +0530] "GET /GvkHospitalManagement/mvc/student/stdshow HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:22:10 +0530] "GET /GvkHospitalManagement/mvc/student/viewData HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:23:05 +0530] "GET /GvkHospitalManagement/mvc/student/viewData HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:25:19 +0530] "GET /GvkHospitalManagement/mvc/student/stdshow HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:25:45 +0530] "POST /GvkHospitalManagement/mvc/student/stdReg HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:25:49 +0530] "GET /GvkHospitalManagement/mvc/student/stdshow HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:25:51 +0530] "GET /GvkHospitalManagement/mvc/student/viewData HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:26:08 +0530] "GET /GvkHospitalManagement/mvc/student/updateStd?stdId=1232 HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:38:20 +0530] "POST /GvkHospitalManagement/mvc/student/updateStd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:38:20 +0530] "GET /GvkHospitalManagement/mvc/student/viewData HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:38:25 +0530] "GET /GvkHospitalManagement/mvc/student/updateStd?stdId=12 HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:38:32 +0530] "POST /GvkHospitalManagement/mvc/student/updateStd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:38:32 +0530] "GET /GvkHospitalManagement/mvc/student/viewData HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:38:59 +0530] "GET /GvkHospitalManagement/mvc/student/deleteStd?stdId=1232 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:01:38:59 +0530] "GET /GvkHospitalManagement/mvc/student/viewData HTTP/1.1" 200 971
